Input1	Input2	Output
-0.988816951	0.24909764	-0.999983236
-0.801059447	0.601357028	0.999945401
-0.902295468	0.500295843	-0.736088971
-0.655679812	0.743955384	0.256968859
-0.685108888	1.01668147	0.031759731
-0.506768687	0.806990788	0.361959982
-0.356091819	-0.106656151	-0.306004528
-0.412595644	0.270618247	-0.15463
-0.265450265	0.025793358	-0.288991012
0.272513243	-0.313195496	-0.260952032
0.393761036	-0.818588432	-0.037737879
0.288404944	-1.01215239	-0.323817531
-0.959976457	-0.242634048	-0.118221453
-0.921718658	-0.0303255	-0.740766217
-1	-0.156680378	-0.707434319
-0.800470865	-0.026674051	-0.29175597
-0.719246616	0.350811485	-0.27768314
-0.761035903	-0.095136052	-0.076092442
-0.437316068	-0.826967897	-0.122808422
-0.255444379	-0.393521292	0.03824776
-0.308416716	-0.011262579	0.047734541
0.775750441	0.012945854	0.007564058
1	-0.031808434	-0.045618282
0.726898175	-0.672049457	-0.05837094
-0.988816951	0.24909764	-0.999983236
-0.801059447	0.601357028	0.999945401
-0.902295468	0.500295843	-0.736088971
-0.655679812	0.743955384	0.256968859
-0.685108888	1.01668147	0.031759731
-0.506768687	0.806990788	0.361959982
-0.356091819	-0.106656151	-0.306004528
-0.412595644	0.270618247	-0.15463
-0.265450265	0.025793358	-0.288991012
0.272513243	-0.313195496	-0.260952032
0.393761036	-0.818588432	-0.037737879
0.288404944	-1.01215239	-0.323817531
-0.959976457	-0.242634048	-0.118221453
-0.921718658	-0.0303255	-0.740766217
-1	-0.156680378	-0.707434319
-0.800470865	-0.026674051	-0.29175597
-0.719246616	0.350811485	-0.27768314
-0.761035903	-0.095136052	-0.076092442
-0.437316068	-0.826967897	-0.122808422
-0.255444379	-0.393521292	0.03824776
-0.308416716	-0.011262579	0.047734541
0.775750441	0.012945854	0.007564058
1	-0.031808434	-0.045618282
0.726898175	-0.672049457	-0.05837094
-0.988816951	0.24909764	-0.999983236
-0.801059447	0.601357028	0.999945401
-0.902295468	0.500295843	-0.736088971
-0.655679812	0.743955384	0.256968859
-0.685108888	1.01668147	0.031759731
-0.506768687	0.806990788	0.361959982
-0.356091819	-0.106656151	-0.306004528
-0.412595644	0.270618247	-0.15463
-0.265450265	0.025793358	-0.288991012
0.272513243	-0.313195496	-0.260952032
0.393761036	-0.818588432	-0.037737879
0.288404944	-1.01215239	-0.323817531
-0.959976457	-0.242634048	-0.118221453
-0.921718658	-0.0303255	-0.740766217
-1	-0.156680378	-0.707434319
-0.800470865	-0.026674051	-0.29175597
-0.719246616	0.350811485	-0.27768314
-0.761035903	-0.095136052	-0.076092442
-0.437316068	-0.826967897	-0.122808422
-0.255444379	-0.393521292	0.03824776
-0.308416716	-0.011262579	0.047734541
0.775750441	0.012945854	0.007564058
1	-0.031808434	-0.045618282
0.726898175	-0.672049457	-0.05837094
-0.988816951	0.24909764	-0.999983236
-0.801059447	0.601357028	0.999945401
-0.902295468	0.500295843	-0.736088971
-0.655679812	0.743955384	0.256968859
-0.685108888	1.01668147	0.031759731
-0.506768687	0.806990788	0.361959982
-0.356091819	-0.106656151	-0.306004528
-0.412595644	0.270618247	-0.15463
-0.265450265	0.025793358	-0.288991012
0.272513243	-0.313195496	-0.260952032
0.393761036	-0.818588432	-0.037737879
0.288404944	-1.01215239	-0.323817531
-0.959976457	-0.242634048	-0.118221453
-0.921718658	-0.0303255	-0.740766217
-1	-0.156680378	-0.707434319
-0.800470865	-0.026674051	-0.29175597
-0.719246616	0.350811485	-0.27768314
-0.761035903	-0.095136052	-0.076092442
-0.437316068	-0.826967897	-0.122808422
-0.255444379	-0.393521292	0.03824776
-0.308416716	-0.011262579	0.047734541
0.775750441	0.012945854	0.007564058
1	-0.031808434	-0.045618282
0.726898175	-0.672049457	-0.05837094
-0.988816951	0.24909764	-0.999983236
-0.801059447	0.601357028	0.999945401
-0.902295468	0.500295843	-0.736088971
-0.655679812	0.743955384	0.256968859
-0.685108888	1.01668147	0.031759731
-0.506768687	0.806990788	0.361959982
-0.356091819	-0.106656151	-0.306004528
-0.412595644	0.270618247	-0.15463
-0.265450265	0.025793358	-0.288991012
0.272513243	-0.313195496	-0.260952032
0.393761036	-0.818588432	-0.037737879
0.288404944	-1.01215239	-0.323817531
-0.959976457	-0.242634048	-0.118221453
-0.921718658	-0.0303255	-0.740766217
-1	-0.156680378	-0.707434319
-0.800470865	-0.026674051	-0.29175597
-0.719246616	0.350811485	-0.27768314
-0.761035903	-0.095136052	-0.076092442
-0.437316068	-0.826967897	-0.122808422
-0.255444379	-0.393521292	0.03824776
-0.308416716	-0.011262579	0.047734541
0.775750441	0.012945854	0.007564058
1	-0.031808434	-0.045618282
0.726898175	-0.672049457	-0.05837094
-0.988816951	0.24909764	-0.999983236
-0.801059447	0.601357028	0.999945401
-0.902295468	0.500295843	-0.736088971
-0.655679812	0.743955384	0.256968859
-0.685108888	1.01668147	0.031759731
-0.506768687	0.806990788	0.361959982
-0.356091819	-0.106656151	-0.306004528
-0.412595644	0.270618247	-0.15463
-0.265450265	0.025793358	-0.288991012
0.272513243	-0.313195496	-0.260952032
0.393761036	-0.818588432	-0.037737879
0.288404944	-1.01215239	-0.323817531
-0.959976457	-0.242634048	-0.118221453
-0.921718658	-0.0303255	-0.740766217
-1	-0.156680378	-0.707434319
-0.800470865	-0.026674051	-0.29175597
-0.719246616	0.350811485	-0.27768314
-0.761035903	-0.095136052	-0.076092442
-0.437316068	-0.826967897	-0.122808422
-0.255444379	-0.393521292	0.03824776
-0.308416716	-0.011262579	0.047734541
0.775750441	0.012945854	0.007564058
1	-0.031808434	-0.045618282
0.726898175	-0.672049457	-0.05837094
-0.988816951	0.24909764	-0.999983236
-0.801059447	0.601357028	0.999945401
-0.902295468	0.500295843	-0.736088971
-0.655679812	0.743955384	0.256968859
-0.685108888	1.01668147	0.031759731
-0.506768687	0.806990788	0.361959982
-0.356091819	-0.106656151	-0.306004528
-0.412595644	0.270618247	-0.15463
-0.265450265	0.025793358	-0.288991012
0.272513243	-0.313195496	-0.260952032
0.393761036	-0.818588432	-0.037737879
0.288404944	-1.01215239	-0.323817531
-0.959976457	-0.242634048	-0.118221453
-0.921718658	-0.0303255	-0.740766217
-1	-0.156680378	-0.707434319
-0.800470865	-0.026674051	-0.29175597
-0.719246616	0.350811485	-0.27768314
-0.761035903	-0.095136052	-0.076092442
-0.437316068	-0.826967897	-0.122808422
-0.255444379	-0.393521292	0.03824776
-0.308416716	-0.011262579	0.047734541
0.775750441	0.012945854	0.007564058
1	-0.031808434	-0.045618282
0.726898175	-0.672049457	-0.05837094
-0.988816951	0.24909764	-0.999983236
-0.801059447	0.601357028	0.999945401
-0.902295468	0.500295843	-0.736088971
-0.655679812	0.743955384	0.256968859
-0.685108888	1.01668147	0.031759731
-0.506768687	0.806990788	0.361959982
-0.356091819	-0.106656151	-0.306004528
-0.412595644	0.270618247	-0.15463
-0.265450265	0.025793358	-0.288991012
0.272513243	-0.313195496	-0.260952032
0.393761036	-0.818588432	-0.037737879
0.288404944	-1.01215239	-0.323817531
-0.959976457	-0.242634048	-0.118221453
-0.921718658	-0.0303255	-0.740766217
-1	-0.156680378	-0.707434319
-0.800470865	-0.026674051	-0.29175597
-0.719246616	0.350811485	-0.27768314
-0.761035903	-0.095136052	-0.076092442
-0.437316068	-0.826967897	-0.122808422
-0.255444379	-0.393521292	0.03824776
-0.308416716	-0.011262579	0.047734541
0.775750441	0.012945854	0.007564058
1	-0.031808434	-0.045618282
0.726898175	-0.672049457	-0.05837094
-0.988816951	0.24909764	-0.999983236
-0.801059447	0.601357028	0.999945401
-0.902295468	0.500295843	-0.736088971
-0.655679812	0.743955384	0.256968859
-0.685108888	1.01668147	0.031759731
-0.506768687	0.806990788	0.361959982
-0.356091819	-0.106656151	-0.306004528
-0.412595644	0.270618247	-0.15463
-0.265450265	0.025793358	-0.288991012
0.272513243	-0.313195496	-0.260952032
0.393761036	-0.818588432	-0.037737879
0.288404944	-1.01215239	-0.323817531
-0.959976457	-0.242634048	-0.118221453
-0.921718658	-0.0303255	-0.740766217
-1	-0.156680378	-0.707434319
-0.800470865	-0.026674051	-0.29175597
-0.719246616	0.350811485	-0.27768314
-0.761035903	-0.095136052	-0.076092442
-0.437316068	-0.826967897	-0.122808422
-0.255444379	-0.393521292	0.03824776
-0.308416716	-0.011262579	0.047734541
0.775750441	0.012945854	0.007564058
1	-0.031808434	-0.045618282
0.726898175	-0.672049457	-0.05837094
-0.988816951	0.24909764	-0.999983236
-0.801059447	0.601357028	0.999945401
-0.902295468	0.500295843	-0.736088971
-0.655679812	0.743955384	0.256968859
-0.685108888	1.01668147	0.031759731
-0.506768687	0.806990788	0.361959982
-0.356091819	-0.106656151	-0.306004528
-0.412595644	0.270618247	-0.15463
-0.265450265	0.025793358	-0.288991012
0.272513243	-0.313195496	-0.260952032
0.393761036	-0.818588432	-0.037737879
0.288404944	-1.01215239	-0.323817531
-0.959976457	-0.242634048	-0.118221453
-0.921718658	-0.0303255	-0.740766217
-1	-0.156680378	-0.707434319
-0.800470865	-0.026674051	-0.29175597
-0.719246616	0.350811485	-0.27768314
-0.761035903	-0.095136052	-0.076092442
-0.437316068	-0.826967897	-0.122808422
-0.255444379	-0.393521292	0.03824776
-0.308416716	-0.011262579	0.047734541
0.775750441	0.012945854	0.007564058
1	-0.031808434	-0.045618282
0.726898175	-0.672049457	-0.05837094
-0.988816951	0.24909764	-0.999983236
-0.801059447	0.601357028	0.999945401
-0.902295468	0.500295843	-0.736088971
-0.655679812	0.743955384	0.256968859
-0.685108888	1.01668147	0.031759731
-0.506768687	0.806990788	0.361959982
-0.356091819	-0.106656151	-0.306004528
-0.412595644	0.270618247	-0.15463
-0.265450265	0.025793358	-0.288991012
0.272513243	-0.313195496	-0.260952032
0.393761036	-0.818588432	-0.037737879
0.288404944	-1.01215239	-0.323817531
-0.959976457	-0.242634048	-0.118221453
-0.921718658	-0.0303255	-0.740766217
-1	-0.156680378	-0.707434319
-0.800470865	-0.026674051	-0.29175597
-0.719246616	0.350811485	-0.27768314
-0.761035903	-0.095136052	-0.076092442
-0.437316068	-0.826967897	-0.122808422
-0.255444379	-0.393521292	0.03824776
-0.308416716	-0.011262579	0.047734541
0.775750441	0.012945854	0.007564058
1	-0.031808434	-0.045618282
0.726898175	-0.672049457	-0.05837094
-0.988816951	0.24909764	-0.999983236
-0.801059447	0.601357028	0.999945401
-0.902295468	0.500295843	-0.736088971
-0.655679812	0.743955384	0.256968859
-0.685108888	1.01668147	0.031759731
-0.506768687	0.806990788	0.361959982
-0.356091819	-0.106656151	-0.306004528
-0.412595644	0.270618247	-0.15463
-0.265450265	0.025793358	-0.288991012
0.272513243	-0.313195496	-0.260952032
0.393761036	-0.818588432	-0.037737879
0.288404944	-1.01215239	-0.323817531
-0.959976457	-0.242634048	-0.118221453
-0.921718658	-0.0303255	-0.740766217
-1	-0.156680378	-0.707434319
-0.800470865	-0.026674051	-0.29175597
-0.719246616	0.350811485	-0.27768314
-0.761035903	-0.095136052	-0.076092442
-0.437316068	-0.826967897	-0.122808422
-0.255444379	-0.393521292	0.03824776
-0.308416716	-0.011262579	0.047734541
0.775750441	0.012945854	0.007564058
