Input2	Output
0.24909764	-0.999983236
0.601357028	0.999945401
0.500295843	-0.736088971
0.743955384	0.256968859
1.01668147	0.031759731
0.806990788	0.361959982
-0.106656151	-0.306004528
0.270618247	-0.15463
0.025793358	-0.288991012
-0.313195496	-0.260952032
-0.818588432	-0.037737879
-1.01215239	-0.323817531
-0.242634048	-0.118221453
-0.0303255	-0.740766217
-0.156680378	-0.707434319
-0.026674051	-0.29175597
0.350811485	-0.27768314
-0.095136052	-0.076092442
-0.826967897	-0.122808422
-0.393521292	0.03824776
-0.011262579	0.047734541
0.012945854	0.007564058
-0.031808434	-0.045618282
-0.672049457	-0.05837094
0.24909764	-0.999983236
0.601357028	0.999945401
0.500295843	-0.736088971
0.743955384	0.256968859
1.01668147	0.031759731
0.806990788	0.361959982
-0.106656151	-0.306004528
0.270618247	-0.15463
0.025793358	-0.288991012
-0.313195496	-0.260952032
-0.818588432	-0.037737879
-1.01215239	-0.323817531
-0.242634048	-0.118221453
-0.0303255	-0.740766217
-0.156680378	-0.707434319
-0.026674051	-0.29175597
0.350811485	-0.27768314
-0.095136052	-0.076092442
-0.826967897	-0.122808422
-0.393521292	0.03824776
-0.011262579	0.047734541
0.012945854	0.007564058
-0.031808434	-0.045618282
-0.672049457	-0.05837094
0.24909764	-0.999983236
0.601357028	0.999945401
0.500295843	-0.736088971
0.743955384	0.256968859
1.01668147	0.031759731
0.806990788	0.361959982
-0.106656151	-0.306004528
0.270618247	-0.15463
0.025793358	-0.288991012
-0.313195496	-0.260952032
-0.818588432	-0.037737879
-1.01215239	-0.323817531
-0.242634048	-0.118221453
-0.0303255	-0.740766217
-0.156680378	-0.707434319
-0.026674051	-0.29175597
0.350811485	-0.27768314
-0.095136052	-0.076092442
-0.826967897	-0.122808422
-0.393521292	0.03824776
-0.011262579	0.047734541
0.012945854	0.007564058
-0.031808434	-0.045618282
-0.672049457	-0.05837094
0.24909764	-0.999983236
0.601357028	0.999945401
0.500295843	-0.736088971
0.743955384	0.256968859
1.01668147	0.031759731
0.806990788	0.361959982
-0.106656151	-0.306004528
0.270618247	-0.15463
0.025793358	-0.288991012
-0.313195496	-0.260952032
-0.818588432	-0.037737879
-1.01215239	-0.323817531
-0.242634048	-0.118221453
-0.0303255	-0.740766217
-0.156680378	-0.707434319
-0.026674051	-0.29175597
0.350811485	-0.27768314
-0.095136052	-0.076092442
-0.826967897	-0.122808422
-0.393521292	0.03824776
-0.011262579	0.047734541
0.012945854	0.007564058
-0.031808434	-0.045618282
-0.672049457	-0.05837094
0.24909764	-0.999983236
0.601357028	0.999945401
0.500295843	-0.736088971
0.743955384	0.256968859
1.01668147	0.031759731
0.806990788	0.361959982
-0.106656151	-0.306004528
0.270618247	-0.15463
0.025793358	-0.288991012
-0.313195496	-0.260952032
-0.818588432	-0.037737879
-1.01215239	-0.323817531
-0.242634048	-0.118221453
-0.0303255	-0.740766217
-0.156680378	-0.707434319
-0.026674051	-0.29175597
0.350811485	-0.27768314
-0.095136052	-0.076092442
-0.826967897	-0.122808422
-0.393521292	0.03824776
-0.011262579	0.047734541
0.012945854	0.007564058
-0.031808434	-0.045618282
-0.672049457	-0.05837094
0.24909764	-0.999983236
0.601357028	0.999945401
0.500295843	-0.736088971
0.743955384	0.256968859
1.01668147	0.031759731
0.806990788	0.361959982
-0.106656151	-0.306004528
0.270618247	-0.15463
0.025793358	-0.288991012
-0.313195496	-0.260952032
-0.818588432	-0.037737879
-1.01215239	-0.323817531
-0.242634048	-0.118221453
-0.0303255	-0.740766217
-0.156680378	-0.707434319
-0.026674051	-0.29175597
0.350811485	-0.27768314
-0.095136052	-0.076092442
-0.826967897	-0.122808422
-0.393521292	0.03824776
-0.011262579	0.047734541
0.012945854	0.007564058
-0.031808434	-0.045618282
-0.672049457	-0.05837094
0.24909764	-0.999983236
0.601357028	0.999945401
0.500295843	-0.736088971
0.743955384	0.256968859
1.01668147	0.031759731
0.806990788	0.361959982
-0.106656151	-0.306004528
0.270618247	-0.15463
0.025793358	-0.288991012
-0.313195496	-0.260952032
-0.818588432	-0.037737879
-1.01215239	-0.323817531
-0.242634048	-0.118221453
-0.0303255	-0.740766217
-0.156680378	-0.707434319
-0.026674051	-0.29175597
0.350811485	-0.27768314
-0.095136052	-0.076092442
-0.826967897	-0.122808422
-0.393521292	0.03824776
-0.011262579	0.047734541
0.012945854	0.007564058
-0.031808434	-0.045618282
-0.672049457	-0.05837094
0.24909764	-0.999983236
0.601357028	0.999945401
0.500295843	-0.736088971
0.743955384	0.256968859
1.01668147	0.031759731
0.806990788	0.361959982
-0.106656151	-0.306004528
0.270618247	-0.15463
0.025793358	-0.288991012
-0.313195496	-0.260952032
-0.818588432	-0.037737879
-1.01215239	-0.323817531
-0.242634048	-0.118221453
-0.0303255	-0.740766217
-0.156680378	-0.707434319
-0.026674051	-0.29175597
0.350811485	-0.27768314
-0.095136052	-0.076092442
-0.826967897	-0.122808422
-0.393521292	0.03824776
-0.011262579	0.047734541
0.012945854	0.007564058
-0.031808434	-0.045618282
-0.672049457	-0.05837094
0.24909764	-0.999983236
0.601357028	0.999945401
0.500295843	-0.736088971
0.743955384	0.256968859
1.01668147	0.031759731
0.806990788	0.361959982
-0.106656151	-0.306004528
0.270618247	-0.15463
0.025793358	-0.288991012
-0.313195496	-0.260952032
-0.818588432	-0.037737879
-1.01215239	-0.323817531
