Input1	Output
-0.801916933	-0.594332898
-0.791267306	-0.580484514
-0.787007455	-0.575068374
-0.693290735	-0.470542854
-0.74227902	-0.521991893
-0.814696486	-0.611565858
-0.8828541	-0.717457927
-0.818956337	-0.617468136
-0.831735889	-0.635680504
-0.853035144	-0.66787395
-0.729499468	-0.507962814
-0.735889244	-0.51491986
-0.902023429	-0.752672479
-0.795527157	-0.585970152
-0.821086262	-0.62045013
-0.825346113	-0.626477288
-0.850905218	-0.664543188
-0.810436635	-0.605743989
-0.895633653	-0.740608448
-0.876464324	-0.706337216
-0.801916933	-0.594332898
-0.755058573	-0.536496625
-0.810436635	-0.605743989
-0.867944622	-0.691946446
-0.52715655	-0.844902662
-0.693290735	-0.914041256
-0.599574015	-0.872321951
-0.493077742	-0.833129912
-0.691160809	-0.912996079
-0.450479233	-0.819275922
-0.597444089	-0.871462868
-0.610223642	-0.876670285
-0.714589989	-0.924786288
-0.546325879	-0.851823282
-0.369542066	-0.79520877
-0.6485623	-0.893105672
-0.593184239	-0.869755059
-0.550585729	-0.853392305
-0.414270501	-0.80817098
-0.605963791	-0.874920252
-0.580404686	-0.864712521
-0.746538871	-0.526772369
-0.799787007	-0.591527098
-0.844515442	-0.654703985
-0.829605964	-0.632590685
-0.7657082	-0.548971301
-0.833865815	-0.638792832
-0.808306709	-0.602862528
-0.714589989	-0.492156481
-0.833865815	-0.638792832
-0.776357827	-0.561820787
-0.850905218	-0.664543188
-0.793397231	-0.583218535
-0.816826411	-0.614506807
-0.78913738	-0.577767867
-0.767838126	-0.551510498
-0.750798722	-0.531606867
-0.701810437	-0.479057806
-0.727369542	-0.505668709
-0.825346113	-0.626477288
-0.776357827	-0.561820787
-0.784877529	-0.572385817
-0.778487753	-0.564437673
-0.825346113	-0.626477288
-0.787007455	-0.575068374
-0.857294995	-0.674614441
-0.682641108	-0.90886609
-0.635782748	-0.887484654
-0.691160809	-0.912996079
-0.646432375	-0.892158439
-0.650692226	-0.894057149
