Input1	Input3	Output
-0.801916933	-0.977004904	-0.594332898
-0.791267306	-0.972582489	-0.580484514
-0.787007455	-0.794773613	-0.575068374
-0.693290735	-0.76042455	-0.470542854
-0.74227902	-0.445099635	-0.521991893
-0.814696486	-0.580974162	-0.611565858
-0.8828541	-0.592043605	-0.717457927
-0.818956337	-0.265059313	-0.617468136
-0.831735889	-0.719866682	-0.635680504
-0.853035144	-0.71502828	-0.66787395
-0.729499468	-0.261743316	-0.507962814
-0.735889244	-0.794037993	-0.51491986
-0.902023429	-0.870860879	-0.752672479
-0.795527157	-0.692357732	-0.585970152
-0.821086262	-0.769696491	-0.62045013
-0.825346113	-0.855585496	-0.626477288
-0.850905218	-0.558474157	-0.664543188
-0.810436635	-0.782954425	-0.605743989
-0.895633653	-0.829454901	-0.740608448
-0.876464324	-0.863107884	-0.706337216
-0.801916933	-0.797271715	-0.594332898
-0.755058573	-0.833364608	-0.536496625
-0.810436635	-0.77886733	-0.605743989
-0.867944622	-0.771013982	-0.691946446
-0.52715655	-0.809912747	-0.844902662
-0.693290735	-0.881795603	-0.914041256
-0.599574015	-0.76676134	-0.872321951
-0.493077742	-0.665544991	-0.833129912
-0.691160809	-0.75663741	-0.912996079
-0.450479233	-0.595706048	-0.819275922
-0.597444089	-0.695441524	-0.871462868
-0.610223642	-0.790324924	-0.876670285
-0.714589989	-0.839566126	-0.924786288
-0.546325879	-0.646425461	-0.851823282
-0.369542066	-0.164919308	-0.79520877
-0.6485623	-0.587004893	-0.893105672
-0.593184239	-0.760960543	-0.869755059
-0.550585729	-0.726914431	-0.853392305
-0.414270501	-0.575957639	-0.80817098
-0.605963791	-0.91114117	-0.874920252
-0.580404686	-0.72642747	-0.864712521
-0.746538871	-0.801977263	-0.526772369
-0.799787007	-0.802968937	-0.591527098
-0.844515442	-0.959387217	-0.654703985
-0.829605964	-0.785965939	-0.632590685
-0.7657082	-0.626686306	-0.548971301
-0.833865815	-0.820251259	-0.638792832
-0.808306709	-0.913325562	-0.602862528
-0.714589989	-0.603704042	-0.492156481
-0.833865815	-0.602692327	-0.638792832
-0.776357827	-0.489007905	-0.561820787
-0.850905218	-0.338895287	-0.664543188
-0.793397231	-0.674285829	-0.583218535
-0.816826411	-0.415945746	-0.614506807
-0.78913738	-0.797230276	-0.577767867
-0.767838126	-0.637486993	-0.551510498
-0.750798722	-0.506797089	-0.531606867
-0.701810437	-0.48601711	-0.479057806
-0.727369542	-0.487403913	-0.505668709
-0.825346113	-0.709297814	-0.626477288
-0.776357827	-0.79633652	-0.561820787
-0.784877529	-0.938512097	-0.572385817
-0.778487753	-0.85748629	-0.564437673
-0.825346113	-0.569736295	-0.626477288
-0.787007455	-0.817504375	-0.575068374
-0.857294995	-0.843636865	-0.674614441
-0.682641108	-0.816153216	-0.90886609
-0.635782748	-0.918355819	-0.887484654
-0.691160809	-0.99557736	-0.912996079
-0.646432375	-0.938324026	-0.892158439
-0.650692226	-0.887201961	-0.894057149
-0.667731629	-0.858146384	-0.901826509
-0.667731629	-0.716226552	-0.901826509
-0.623003195	-0.731847454	-0.882008626
-0.533546326	-0.424812142	-0.847184574
-0.67199148	-0.63370429	-0.903814108
-0.761448349	-0.637965729	-0.950535043
-0.616613419	-0.397579166	-0.87932268
-0.580404686	-0.387855499	-0.864712521
